"wordlist-id","sequence-number","word-id"
"213","0","1481"
"11","40","2057"
"11","39","2056"
"11","38","2055"
"5733","2","1473"
"572","59","3455"
"572","58","3454"
"572","57","3453"
"572","56","3452"
"572","55","3451"
"572","54","425"
"572","53","641"
"572","52","3450"
"572","51","3449"
"572","50","2986"
"572","49","2985"
"572","48","422"
"572","47","360"
"572","46","2983"
"572","45","2982"
"571","59","1869"
"571","58","1871"
"571","57","1776"
"571","56","1806"
"571","55","1758"
"52","0","3771"
"760","0","9949"
"767","0","11034"
"696","52","8837"
"571","54","1725"
"696","51","689"
"696","50","5447"
"696","49","20464"
"696","48","13077"
"696","47","1967"
"696","46","19813"
"696","45","1292"
"696","44","6671"
"696","43","2721"
"696","42","20463"
"696","41","9524"
"696","40","8059"
"696","39","6572"
"696","38","6804"
"696","37","7179"
"696","36","1287"
"695","39","1905"
"695","38","7112"
"691","27","5496"
"695","37","8290"
"695","36","2660"
"695","35","9593"
"695","34","5974"
"695","33","8423"
"695","32","1518"
"695","31","9281"
"691","26","1673"
"695","30","5110"
"691","25","11278"
"691","24","9936"
"695","29","3840"
"695","28","7213"
"695","27","2497"
"695","26","1182"
"695","25","3651"
"695","24","9263"
"695","23","9396"
"695","22","9288"
"695","21","1949"
"691","23","4233"
"691","22","5180"
"695","20","1933"
"691","21","18955"
"695","19","6228"
"695","18","9322"
"695","17","4462"
"695","16","9664"
"695","15","9528"
"691","20","8742"
"695","14","9255"
"695","13","7432"
"691","19","1893"
"691","18","8949"
"695","12","10015"
"695","11","9738"
"691","17","5876"
"695","10","9850"
"691","16","3571"
"695","9","1223"
"691","15","9053"
"695","8","3544"
"695","7","1762"
"695","6","3967"
"695","5","10690"
"695","4","9258"
"695","3","10086"
"691","14","10493"
"695","2","977"
"691","13","2670"
"695","1","2944"
"695","0","6605"
"691","12","1089"
"694","29","7678"
"694","28","5860"
"694","27","7584"
"694","26","4096"
"694","25","8390"
"694","24","11009"
"691","11","4404"
"694","23","9613"
"694","22","3118"
"694","21","3145"
"694","20","1749"
"691","10","9305"
"694","19","575"
"694","18","10200"
"694","17","6485"
"694","16","7540"
"691","9","9753"
"694","15","3150"
"691","8","7432"
"691","7","10595"
"691","6","10026"
"694","14","9410"
"694","13","579"
"694","12","806"
"694","11","5460"
"691","5","9164"
"691","4","10319"
"691","3","1474"
"694","10","3683"
"694","9","4090"
"691","2","2944"
"694","8","20258"
"694","7","4480"
"694","6","6374"
"694","5","1728"
"694","4","9079"
"694","3","5866"
"694","2","4493"
"694","1","4653"
"694","0","1478"
"693","29","804"
"693","28","43"
"693","27","358"
"693","26","3607"
"693","25","393"
"693","24","1592"
"693","23","4552"
"693","22","3162"
"693","21","8267"
"693","20","9533"
"693","19","7642"
"693","18","5342"
"693","17","1376"
"693","16","9742"
"693","15","9433"
"693","14","8060"
"693","13","4903"
