word_id,root_id,sequence,sequence_2
"17","987","3","1"
"14","445","2","3"
"33","878","3","1"
"1470","100","1","3"
"17","133","2","2"
"12","822","3","1"
"12","204","2","3"
"12","2","1","2"
"48","840","3","1"
"48","951","2","3"
"48","954","1","2"
"55","1097","2","2"
"22","803","2","1"
"22","148","1","2"
"18","1008","1","2"
"18","953","2","1"
"20","944","3","1"
"20","963","2","2"
"20","954","1","3"
"23","1005","1","1"
"23","959","3",NULL
"24","404","2","1"
"24","1","1","2"
"25","823","2","1"
"25","962","1","2"
"26","396","1","2"
"26","2241","2","1"
"27","170","1","2"
"27","869","2","1"
"28","822","2","1"
"28","1006","1","2"
"29","232","2","3"
"29","967","1","2"
"30","968","1","1"
"31","897","2","1"
"31","1750","1","2"
"32","809","2","1"
"32","970","1","2"
"33","717","2","2"
"33","971","1","3"
"725","340","2","3"
"34","188","1","2"
"35","815","2","1"
"35","974","1","2"
"36","2127","1","2"
"37","194","1","2"
"37","976","2","1"
"53","1526","2","2"
"53","194","1","3"
"53","842","3","1"
"39","4276","1","3"
"39","788","2","2"
"39","842","3","1"
"40","3085","2","1"
"1414","4276","1","2"
"41","204","1","2"
"41","884","2","1"
"42","869","2","1"
"42","4027","1","2"
"43","609","2","3"
"43","4129","1","2"
"44","983","1","1"
"45","2522","1","1"
"264","985","2","1"
"264","2522","1","2"
"46","1477","2","1"
"46","986","1","2"
"47","21","1","3"
"47","1459","2","2"
"47","987","3","1"
"58","1709","1","1"
"262","990","2","1"
"262","155","1","2"
"61","994","2","1"
"59","992","1","1"
"6982","814","3","1"
"62","994","2","1"
"62","993","1","2"
"63","134","1","1"
"64","1621","1","1"
"67","2456","1","1"
"68","998","1","1"
"6982","1316","2","2"
"71","999","1","1"
"74","809","2","1"
"74","1002","1","2"
"34","1003","2","3"
"669","1009","2","1"
"669","1008","1","2"
"268","884","3","1"
"268","155","2","3"
"268","1125","1","2"
"271","43","1","2"
"271","823","3","1"
"271","1011","2","3"
"272","24","1","2"
"272","1012","2","3"
"670","1945","3","1"
"670","2891","2","2"
"670","1014","1","3"
"275","1017","3","0"
"6070","3307","2","1"
"275","1015","1","0"
"671","201","2","2"
"671","4265","1","3"
"671","1076","3","1"
"673","1018","2","2"
"673","35","1","3"
"673","897","3","1"
"674","78","1","2"
"674","812","3","1"
"674","3594","2","3"
"675","240","2","3"
"675","880","3","1"
"675","1020","1","2"
"279","1064","3","1"
"279","1367","2","3"
"725","478","1","2"
"270","1273","2","3"
"280","1023","2","1"
"4480","842","2","1"
"281","803","4","2"
"281","1025","3","4"
"281","24","2","3"
"281","58","1","1"
"283","722","2","3"
"283","20","1","2"
"283","864","3","1"
"284","770","2","1"
"284","20","1","2"
"285","246","2","1"
"285","43","1","2"
"286","814","3","1"
"286","782","2","2"
"286","253","1","3"
"287","91","1","2"
"287","256","2","1"
"676","1030","1","2"
"676","4085","3",NULL
"305","35","2","4"
"677","256","2","1"
"290","937","3","1"
"290","3005","2","2"
"290","1031","1","3"
"678","260","1","2"
"678","2101","2","1"
"292","1033","2","3"
"292","3","1","2"
"292","806","3","1"
"293","1034","1","2"
"293","1035","2","1"
"294","100","1","2"
"294","1034","2","1"
"295","1064","2","1"
"725","840","3","1"
"296","1038","2","1"
"296","21","1","2"
"298","58","1","2"
"298","2984","2","3"
"724","155","2","3"
"299","811","3","1"
"299","1041","2","3"
"299","1040","1","2"
"679","271","1","2"
"679","340","2","1"
"680","74","1","1"
"680","273","2","2"
"302","840","2","1"
"302","273","1","2"
"303","884","3","1"
"303","1044","2","2"
"303","273","1","3"
"681","3785","3","1"
"681","1018","2","2"
"681","35","1","3"
"682","822","3","1"
"682","1018","2","2"
"682","100","1","3"
"307","869","2","1"
"307","275","1","2"
"683","2298","2","1"
"683","1047","1","2"
"309","824","2","1"
"309","276","1","2"
"310","1049","3","1"
"310","1050","2","2"
"310","91","1","3"
"311","1050","2","1"
"311","21","1","2"
"312","841","2","1"
"312","1050","1","2"
"313","910","2","1"
"313","1050","1","2"
"684","1394","2","2"
"684","35","1","1"
"685","822","2","1"
"685","1053","1","2"
"318","2984","1","2"
"724","478","1","2"
"319","878","2","1"
"319","1688","1","2"
"686","285","1","2"
"686","2127","2","1"
"321","1056","2","1"
"321","297","1","2"
"322","897","3","1"
"322","297","2","2"
"824","647","1","1"
"323","91","1","3"
"323","987","3","1"
"323","1871","2","2"
"324","872","2","1"
"324","300","1","2"
"325","1467","2","3"
"325","58","1","1"
"325","803","3","2"
"326","1060","2","2"
"326","40","1","1"
"824","624","2","2"
"1908","1709","2","1"
"327","1061","2","0"
"327","5","1","0"
"1908","8","1","2"
"687","1709","3","2"
"687","1061","2","3"
"328","1064","2","1"
"328","1063","1","2"
"353","535","1","2"
"353","1795","2","4"
"353","4286","3","3"
"354","878","2","1"
"354","1066","1","2"
"689","864","3","1"
"689","1795","2","3"
"8927","2933","2","1"
"351","823","2","1"
"351","1068","1","2"
"350","58","1","1"
"350","993","2","3"
"350","1071","3","2"
"3481","1344","1","1"
"690","4086","3",NULL
"690","1071","2","1"
"692","822","3","1"
"692","1073","2","2"
"692","59","1","3"
"346","1076","2","1"
"346","332","1","2"
"345","331","1","1"
"345","467","2","2"
"344","2","1","3"
"344","987","3","1"
"344","1077","2","2"
"343","843","2","1"
"343","1077","1","2"
"3254","1545","1","2"
"338","326","1","2"
"693","1079","2","1"
"693","1031","1","2"
"694","823","3","1"
"694","786","2","3"
"1821","1545","2","2"
"336","58","1","1"
"336","2131","2","2"
"335","1082","2","1"
"335","4055","3",NULL
"334","809","3","1"
"334","1081","1","2"
"333","1084","1","1"
"331","450","2","3"
"331","869","3","1"
"331","1061","1","2"
"330","882","3","1"
"330","1085","1","2"
"330","1590","2","3"
"695","3965","2",NULL
"696","362","1","1"
"698","803","3","2"
"698","1089","2","3"
"698","58","1","1"
"1378","1090","2","3"
"1378","121","1","1"
"1378","803","3","2"
"699","58","1","1"
"699","735","2","3"
"699","868","3","2"
"663","872","2","1"
"663","1092","1","2"
"1381","110","2","3"
"1381","58","1","2"
"1381","1093","3","4"
"1381","823","4","1"
"1382","133","1","2"
"1382","987","2","1"
"1664","1094","2","1"
"1664","133","1","2"
"1384","908","2","1"
"1384","133","1","2"
"1666","100","1","3"
"1666","133","2","2"
"1666","987","3","1"
"17","118","1","3"
"1668","864","2","1"
"1668","134","1","2"
"5395","341","1","1"
"1388","2752","3","1"
"1388","314","2","3"
"1388","1096","1","2"
"1104","510","2","1"
"1104","1098","1","2"
"1389","941","2","1"
"1389","1098","1","2"
"1390","1098","1","1"
"820","147","2","1"
"820","4055","3",NULL
"1391","812","2","1"
"1391","147","1","2"
"1392","147","1","2"
"1392","1035","2","1"
"6508","485","2",NULL
"1393","467","2","1"
"1157","607","1","2"
"1157","163","2","3"
"1157","959","3","1"
"1669","902","2","1"
"1669","153","1","2"
"1670","1064","3","1"
"1670","379","2","3"
"1670","153","1","2"
"1394","959","3","1"
"1394","153","2","3"
"1394","89","1","2"
"1006","1103","3","2"
"1006","155","2","3"
"1006","58","1","1"
"1398","1056","2","1"
"1398","1104","1","2"
"911","1076","2","1"
"911","1104","1","2"
"1399","994","2","1"
"1399","1106","1","2"
"1400","864","3","1"
"1400","340","2","2"
"1400","1106","1","3"
"1401","1106","1","2"
"1401","1108","2","1"
"1402","1106","1","2"
"1402","881","2","1"
"1403","1109","2","1"
"1403","182","1","2"
"1404","182","1","2"
"1404","467","2","1"
"1671","1003","2","1"
"1671","182","1","2"
"1405","182","1","2"
"1405","1567","2","1"
"1244","868","2","1"
"1244","185","1","2"
"1414","340","2","1"
"1674","200","2","2"
"1674","1112","1","1"
"1424","1113","2","1"
"1424","205","1","2"
"1676","845","2","1"
"1676","1836","1","2"
"841","804","2","1"
"841","1038","1","2"
"1428","240","1","2"
"1428","2675","2","1"
"1677","467","2","1"
"1677","1038","1","2"
"1429","870","3",NULL
"1429","467","2","1"
"1311","888","3","1"
